rank ,name ,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank,employees
485,EnLink Midstream,6685.9,71.7,22.4,,8483.2,4670.6,145.0,1073.0
486,Southwestern Energy,6667.0,188.9,25.0,,11848.0,7989.7,407.0,938.0
487,Equinix,6635.5,10.6,500.2,35.3,27918.7,67280.5,-26.0,10944.0
488,Dillard's,6624.3,49.4,862.5,,3245.6,4928.2,97.0,25350.0
489,Regions Financial,6605.0,-0.8,2521.0,130.4,162938.0,20860.9,-55.0,19626.0
490,Yum Brands,6584.0,16.5,1575.0,74.2,5966.0,34252.9,-12.0,25650.0
491,Landstar System,6540.4,58.1,381.5,98.6,2045.5,5600.0,115.0,1399.0
492,CF Industries Holdings,6538.3,58.5,917.1,189.3,12375.2,21551.3,117.0,3003.0
493,Northern Trust,6488.3,3.0,1545.3,27.8,183889.8,24215.1,-50.0,21100.0
494,Robert Half International,6461.4,26.5,598.6,95.5,2952.4,12638.1,25.0,14600.0
495,Compass,6421.0,72.6,494.1,,1800.6,3358.8,151.0,4775.0
496,Hasbro,6420.4,17.5,428.7,92.7,10037.8,11383.6,-2.0,6640.0
497,Roper Technologies,6415.8,16.1,1152.6,21.4,23713.9,49868.8,-9.0,19300.0
498,ARKO,6412.6,88.1,59.2,348.9,2942.3,1133.9,183.0,11236.0
499,Frontier Communications,6411.0,-10.4,,,16481.0,6763.1,-97.0,15640.0
500,Ameren,6394.0,10.4,990.0,13.7,35735.0,24198.7,-31.0,9116.0
501,O-I Glass,6357.0,4.4,149.0,-40.2,8832.0,2058.0,-46.0,24000.0
502,Chemours,6345.0,27.7,608.0,177.6,7550.0,5015.0,25.0,6400.0
503,Crown Castle International,6340.0,8.6,1096.0,3.8,39040.0,79937.3,-36.0,5000.0
504,Agilent Technologies,6319.0,18.4,1210.0,68.3,10705.0,39714.0,-2.0,17000.0
505,McCormick,6317.9,12.8,755.3,1.1,12905.8,26754.0,-23.0,14000.0
506,Skechers U.S.A.,6310.2,36.8,741.5,652.3,6491.3,6360.4,52.0,8950.0
507,Watsco,6280.2,24.2,418.9,55.4,3085.9,11842.6,17.0,6875.0
508,Live Nation Entertainment,6268.4,236.8,650.9,,14402.3,26425.0,486.0,16200.0
509,Lululemon athletica,6256.6,42.1,975.3,65.6,4942.5,46717.8,78.0,29000.0
510,ABM Industries,6228.6,4.0,126.3,42000.0,4436.2,3078.7,-48.0,124000.0
511,Post Holdings,6226.7,9.3,166.7,20737.5,12414.7,4284.4,-37.0,10735.0
512,Moody's,6218.0,15.8,2214.0,24.5,14680.0,62548.1,-12.0,13460.0
513,Select Medical Holdings,6204.5,12.2,402.2,55.3,7360.2,3208.6,-26.0,43200.0
514,Alaska Air Group,6176.0,73.2,478.0,,13951.0,7314.3,147.0,21691.0
515,Big Lots,6150.6,-0.8,177.8,-71.7,3927.3,988.1,-66.0,23350.0
516,Amkor Technology,6138.3,21.5,643.0,90.2,6038.6,5313.0,9.0,30400.0
517,Sinclair Broadcast Group,6134.0,3.2,414.0,,12541.0,2008.1,-52.0,11500.0
518,RPM International,6106.3,10.9,502.6,65.1,6253.0,10560.8,-29.0,15490.0
519,M&T Bank,6105.8,-2.8,1858.7,37.4,155107.2,21875.0,-75.0,17342.0
520,Sprouts Farmers Market,6099.9,-5.7,244.2,-15.1,2923.1,3546.8,-83.0,31000.0
521,Huntington Bancshares,6080.0,16.1,1295.0,58.5,174064.0,21123.4,-11.0,18442.0
522,CACI International,6044.1,5.7,457.4,42.3,6172.4,7051.2,-49.0,22000.0
523,JetBlue Airways,6037.0,104.2,182.0,,13642.0,4786.9,229.0,17459.0
524,SVB Financial Group,6027.0,47.7,1833.0,51.7,211478.0,32901.0,89.0,6567.0
525,Fastenal,6010.9,6.4,925.0,7.7,4299.0,34187.9,-46.0,18370.0
526,GameStop,6010.7,18.1,381.3,,3499.3,12716.6,-5.0,22500.0
527,Knight-Swift Transportation Holdings,5998.0,28.3,743.4,81.3,10655.5,8386.0,24.0,27650.0
528,Airbnb,5991.8,77.4,352.0,,13708.5,110419.9,160.0,6132.0
529,Patterson,5912.1,7.7,156.0,,2751.5,3160.0,-38.0,7800.0
530,Penn National Gaming,5905.0,65.0,420.8,,16872.1,7140.2,129.0,21973.0
531,ServiceNow,5896.0,30.5,230.0,94.1,10798.0,111378.0,39.0,16881.0
532,Nasdaq,5886.0,4.6,1187.0,27.2,20115.0,29298.2,-52.0,5814.0
533,Brunswick,5846.2,34.5,593.3,59.2,5425.0,6197.3,59.0,18582.0
534,Resideo Technologies,5846.0,15.3,242.0,554.1,5853.0,3455.8,-11.0,13300.0
535,Chesapeake Energy,5809.0,11.5,,,11009.0,11135.9,-22.0,1300.0
536,Petco Health and Wellness,5807.1,18.0,164.4,,6497.9,5930.2,-5.0,28495.0
537,Kemper,5793.0,11.3,120.5,-129.4,14916.5,3606.0,-23.0,10300.0
538,Hilton Worldwide Holdings,5788.0,34.4,410.0,,15441.0,42356.6,58.0,142000.0
539,Cerner,5764.8,4.7,555.6,-28.8,7434.2,27492.2,-49.0,25150.0
540,Levi Strauss,5763.9,29.5,553.5,,5900.1,7874.7,40.0,16600.0
541,Tapestry,5746.3,15.8,834.2,,8382.4,9807.2,-13.0,14250.0
542,NetApp,5744.0,6.1,730.0,-10.9,9360.0,18470.5,-45.0,11000.0
543,KB Home,5724.9,36.9,564.7,90.6,5835.9,2858.1,60.0,2244.0
544,Continental Resources,5719.3,121.1,1661.0,,18591.1,22342.4,274.0,1254.0
545,Intuitive Surgical,5710.1,31.0,1704.6,60.7,13555.0,108361.9,46.0,9793.0
546,Under Armour,5683.5,27.0,360.1,,4991.4,7712.4,32.0,12300.0
547,MDU Resources Group,5680.7,2.7,378.1,-3.1,8910.4,5419.3,-61.0,12826.0
548,Silgan Holdings,5677.1,15.3,359.1,16.3,7770.8,5104.3,-18.0,15720.0
549,Ryerson Holding,5675.3,63.7,294.3,,2365.6,1344.6,127.0,4000.0
550,Ingersoll Rand,5655.2,15.2,562.5,,15154.5,20541.2,-17.0,16000.0
551,Hologic,5632.3,49.1,1871.5,67.8,8919.9,19305.1,90.0,6705.0
552,Electronic Arts,5629.0,1.7,837.0,-72.5,13288.0,35577.4,-67.0,11000.0
553,Zebra Technologies,5627.0,26.5,837.0,66.1,6215.0,21959.1,28.0,9800.0
554,Coty,5616.2,-16.6,201.3,,13691.4,7540.6,-128.0,11430.0
555,Schneider National,5608.7,23.2,405.4,91.5,3937.3,4551.6,10.0,17050.0
556,Sonoco Products,5590.4,6.7,85.5,-141.2,5073.2,6099.1,-45.0,20500.0
557,Concentrix,5587.0,,405.6,,5046.4,8605.2,0.0,290000.0
558,Evergy,5586.7,13.7,879.7,42.3,28520.5,15512.7,-26.0,4930.0
559,Cornerstone Building Brands,5583.1,20.9,665.9,,5827.5,3088.7,-2.0,21700.0
560,Coca-Cola Consolidated,5562.7,11.1,189.6,9.9,3445.6,4657.3,-34.0,15050.0
561,Greif,5556.1,23.1,390.7,259.1,5815.8,3134.0,11.0,16000.0
562,Vulcan Materials,5552.2,14.3,670.8,14.8,13682.6,24412.7,-23.0,11912.0
563,Ametek,5546.5,22.2,990.1,13.5,11898.2,30787.3,3.0,18500.0
564,Monster Beverage,5541.4,20.5,1377.5,-2.3,7804.8,42295.8,-2.0,3775.0
565,Sealed Air,5533.8,12.9,506.8,0.8,6229.3,9920.7,-31.0,16500.0
566,NOV,5524.0,-9.3,250.0,,9550.0,7700.2,-109.0,27043.0
567,Las Vegas Sands,5505.0,52.4,961.0,,20059.0,29696.4,87.0,44600.0
568,Martin Marietta Materials,5493.2,16.1,702.5,-2.6,14393.0,24015.1,-22.0,10000.0
569,Marathon Oil,5467.0,77.2,946.0,,16994.0,18349.5,164.0,1531.0
570,Mattel,5457.7,19.1,903.0,613.1,6393.9,7823.3,-7.0,36300.0
571,Microchip Technology,5438.4,3.1,349.4,-38.8,16478.8,41777.1,-66.0,19500.0
572,Harley-Davidson,5336.3,31.6,650.0,49978.9,11051.1,6062.9,42.0,5800.0
573,Telephone & Data Systems,5329.0,2.0,156.0,-31.0,13493.0,2163.4,-61.0,8800.0
574,ADT,5307.1,-0.1,340.8,,16894.4,6843.0,-70.0,25000.0
575,First Republic Bank,5305.0,17.7,1478.0,38.9,181087.0,29113.6,-1.0,6295.0
576,Warner Music Group,5301.0,18.8,304.0,,7211.0,19485.7,3.0,5900.0
577,Pool,5295.6,34.5,650.6,77.4,3230.1,16967.1,47.0,5650.0
578,Old Dominion Freight Line,5256.3,30.9,1034.4,53.8,4821.5,34307.5,41.0,23663.0
579,Fortive,5254.7,13.4,608.4,-62.3,16465.5,21877.9,-23.0,18000.0
580,MDC Holdings,5254.7,34.7,573.7,56.1,4963.5,2692.7,49.0,2080.0
581,NGL Energy Partners,5243.2,-73.5,639.8,,5947.3,288.6,-430.0,997.0
582,Edwards Lifesciences,5232.5,19.3,1503.1,82.5,8502.6,73141.4,7.0,15700.0
583,Hanover Insurance Group,5227.8,8.3,418.7,16.7,14254.3,5317.9,-41.0,4400.0
584,Syneos Health,5213.0,18.1,234.8,21.8,8237.1,8436.7,2.0,27443.0
585,Xylem,5195.0,6.5,427.0,68.1,8276.0,15354.7,-47.0,16700.0
586,Church & Dwight,5190.1,6.0,827.5,5.3,7996.5,24119.1,-51.0,5100.0
587,American Axle & Manufacturing,5156.6,9.5,5.9,,5635.7,888.3,-40.0,18000.0
588,Meritage Homes,5141.3,14.2,737.4,74.1,4807.5,2907.3,-11.0,1773.0
589,Workday,5138.8,19.0,29.4,,10498.5,60583.4,5.0,15200.0
590,Rush Enterprises,5126.1,8.2,241.4,110.1,3120.0,2788.5,-45.0,7141.0
591,Yellow,5121.8,13.5,109.1,,2425.6,360.3,-18.0,32000.0
592,Encompass Health,5121.6,10.3,412.2,45.0,6864.9,7071.1,-38.0,35681.0
593,Simon Property Group,5116.8,11.1,2249.6,102.2,33777.4,43197.8,-33.0,2850.0
594,Globe Life,5112.9,7.9,745.0,1.8,29768.0,9977.3,-50.0,3222.0
595,Skyworks Solutions,5109.1,52.3,1498.3,83.9,8590.7,21547.5,95.0,10945.0
596,Endeavor Group Holdings,5077.7,46.0,296.6,,11434.5,20363.1,78.0,7700.0
597,Twitter,5077.5,36.6,221.4,,14059.5,30976.8,50.0,7500.0
598,Leggett & Platt,5072.6,18.5,402.4,62.5,5307.3,4659.0,0.0,20300.0
599,Western Union,5070.8,4.9,805.8,8.3,8823.5,7374.7,-58.0,10500.0
600,PerkinElmer,5067.2,34.0,943.2,29.6,15000.6,22009.4,39.0,16700.0
601,SS&C Technologies Holdings,5051.0,8.2,800.0,28.0,17333.0,19235.1,-49.0,24900.0
602,CUNA Mutual Group,5049.5,24.7,622.3,327.7,44345.0,,13.0,4100.0
603,FMC,5045.2,8.7,736.5,33.5,10581.3,16563.8,-48.0,6400.0
604,Carlisle,5030.0,18.5,421.7,31.7,7246.8,12804.5,-5.0,11250.0
605,American Eagle Outfitters,5010.8,33.3,419.6,,3786.6,2836.6,37.0,24000.0
606,Core & Main,5004.0,37.4,166.0,348.6,4434.0,5948.8,0.0,4100.0
607,Vertiv Holdings,4998.1,14.4,119.6,,6939.6,5263.9,-17.0,24000.0
608,Broadridge Financial Solutions,4993.7,10.3,547.5,18.4,8119.8,18182.7,-40.0,13704.0
609,Ingles Markets,4987.9,8.2,249.7,39.8,2018.3,1691.4,-50.0,18460.0
610,TPG,4976.4,135.3,2180.9,198.1,8962.0,9304.9,0.0,1013.0
611,Insperity,4973.1,16.0,124.1,-10.2,1753.1,3849.8,-14.0,3600.0
612,Howmet Aerospace,4972.0,-5.5,258.0,-1.1,10219.0,15055.4,-105.0,19900.0
613,R.R. Donnelley & Sons,4963.7,-8.1,3.7,-96.2,3131.4,,-114.0,32000.0
614,Keysight Technologies,4941.0,17.1,894.0,42.6,7781.0,28746.6,-13.0,14300.0
615,Tempur Sealy International,4930.8,34.1,624.5,79.0,4323.4,4997.7,37.0,12000.0
616,Scotts Miracle-Gro,4925.0,19.2,512.5,32.3,4800.0,6834.6,-9.0,8050.0
617,Equifax,4923.9,19.3,744.2,43.1,11040.9,29141.8,-9.0,12700.0
618,Kelly Services,4909.7,8.7,156.1,,2894.2,856.0,-47.0,7400.0
619,NiSource,4899.6,4.7,584.9,,24156.9,12891.2,-70.0,7307.0
620,OneMain Holdings,4895.0,,1314.0,80.0,22079.0,6042.8,-84.0,8800.0
621,DoorDash,4888.0,69.4,468.0,,6809.0,40830.3,148.0,8600.0
622,Avient,4818.8,48.6,230.8,75.4,4997.2,4388.4,80.0,8700.0
623,Sanderson Farms,4799.7,34.7,455.1,1509.6,2345.0,4185.4,39.0,17662.0
624,TransDigm Group,4798.0,-7.4,680.0,-2.7,19315.0,36135.8,-108.0,13300.0
625,Stifel Financial,4783.1,25.3,824.9,63.8,34049.7,7226.0,8.0,8600.0
626,JELD-WEN Holding,4771.7,12.7,168.8,84.3,3738.7,1826.0,-26.0,24700.0
627,Ares Management,4770.6,122.8,408.8,168.7,21605.2,23821.1,0.0,2100.0
628,Elanco Animal Health,4765.0,45.6,472.0,,16483.0,12345.4,71.0,9800.0
629,Prologis,4759.4,7.2,2939.7,98.4,58486.2,119524.5,-45.0,2053.0
630,Welltower,4742.1,3.0,336.1,-65.7,34910.3,43001.5,-69.0,464.0
631,Darling Ingredients,4741.4,32.7,650.9,119.3,6133.7,12987.4,29.0,9900.0
632,Juniper Networks,4735.4,6.5,252.7,-2.0,8887.0,11986.6,-50.0,10191.0
633,Gartner,4734.0,15.5,793.6,197.5,7416.3,24477.2,-21.0,16600.0
634,Par Pacific Holdings,4710.1,50.7,81.3,,2570.3,783.3,91.0,1336.0
635,Hubbell,4703.5,12.4,399.5,13.8,5281.5,9959.6,-33.0,18300.0
636,CME Group,4689.7,-4.0,2636.4,25.2,196780.3,85492.3,-99.0,3480.0
637,Nexstar Media Group,4648.4,3.3,834.6,2.9,13264.5,7728.3,-61.0,11817.0
638,Tutor Perini,4641.8,-12.7,91.9,-15.2,4724.9,551.8,-135.0,7800.0
639,Antero Resources,4619.4,32.3,186.9,,13896.5,9608.0,33.0,519.0
640,Teledyne Technologies,4614.3,49.5,445.3,10.8,14430.3,22102.9,92.0,14500.0
641,Snap-on,4601.7,16.7,820.5,30.9,6759.7,10976.1,-18.0,12800.0
642,Rent-A-Center,4583.5,62.9,134.9,-35.2,2993.3,1486.9,138.0,14290.0
643,Covetrus,4575.0,5.4,54.0,,3410.0,2319.3,-50.0,4873.0
644,Crestwood Equity Partners,4569.0,102.7,78.5,,4445.7,2931.5,260.0,645.0
645,Louisiana-Pacific,4553.0,63.3,1377.0,176.0,2194.0,5344.1,142.0,4800.0
646,Urban Outfitters,4548.8,31.9,310.6,25030.7,3791.3,2421.4,32.0,16330.0
647,Penn Mutual Life Insurance,4545.6,22.8,522.9,82.2,44190.9,,2.0,3194.0
648,Amerco,4542.0,14.2,610.9,38.2,14651.6,11704.7,-28.0,22052.0
649,TriNet Group,4540.0,12.5,338.0,24.3,3309.0,6482.5,-31.0,2800.0
650,Sentry Insurance Group,4526.2,26.2,739.9,266.7,23880.5,,8.0,4064.0
651,Illumina,4526.0,39.7,762.0,16.2,15217.0,54855.8,55.0,10775.0
652,Iron Mountain,4491.5,8.3,450.2,31.4,14450.0,16059.5,-47.0,25000.0
653,LCI Industries,4472.7,60.0,287.7,81.6,3288.1,2624.5,131.0,13900.0
654,Marvell Technology,4462.4,50.3,421.0,,22108.6,60795.7,0.0,6712.0
655,PennyMac Financial Services,4450.2,-1.9,1003.5,-39.1,18776.6,2948.5,-88.0,7208.0
656,Digital Realty Trust,4427.9,13.4,1709.3,379.6,36369.6,40337.7,-29.0,3030.0
657,TreeHouse Foods,4405.5,-3.6,12.5,-190.6,5207.0,1800.0,-93.0,10000.0
658,Ralph Lauren,4400.8,-28.6,121.1,-131.5,7887.5,8073.2,-208.0,16200.0
659,Mattress Firm Group,4392.9,34.9,165.1,-231.4,3539.1,,0.0,8900.0
660,American National Group,4391.8,15.8,699.3,49.6,31320.3,5084.1,-24.0,4545.0
661,Autodesk,4386.4,15.7,497.0,-58.9,8606.8,46580.0,-24.0,12600.0
662,Domino's Pizza,4357.4,5.8,510.5,3.9,1671.8,14665.9,-52.0,10450.0
663,ASGN,4333.8,9.7,409.9,104.6,3502.8,6022.2,-41.0,3900.0
664,Flowers Foods,4330.8,-1.3,206.2,35.4,3253.3,5438.6,-76.0,8900.0
665,BlueLinx Holdings,4277.2,38.1,296.1,266.1,1317.5,699.5,62.0,2045.0
666,Palo Alto Networks,4256.1,24.9,498.9,,10241.6,61307.5,16.0,10473.0
667,Maximus,4254.5,22.9,291.2,35.8,4119.0,4641.1,10.0,35800.0
668,Dentsply Sirona,4251.0,27.2,421.0,,9220.0,10708.0,23.0,15000.0
669,Hub Group,4232.4,21.1,171.5,133.1,2437.3,2678.5,2.0,4700.0
670,Voya Financial,4230.0,-53.7,2126.0,,171262.0,7042.2,-338.0,5970.0
670,Bread Financial Holdings,4230.0,-6.4,801.0,274.8,21746.0,2804.6,-101.0,6000.0
672,Weis Markets,4224.4,2.7,108.8,-8.5,1910.5,1921.1,-61.0,24000.0
673,Century Communities,4216.3,33.4,498.5,141.8,3496.9,1783.2,44.0,1600.0
674,Synopsys,4204.2,14.1,757.5,14.0,8752.3,51023.2,-23.0,16361.0
675,Brink's,4200.2,13.8,105.2,557.5,5566.7,3234.4,-25.0,73350.0
676,Lennox International,4194.1,15.4,464.0,30.2,2171.9,9447.2,-23.0,11000.0
677,Service Corp. International,4143.1,18.0,802.9,55.6,15691.2,10581.3,-7.0,20840.0
678,Conduent,4140.0,-0.6,28.0,,4036.0,1111.6,-74.0,60000.0
679,Timken,4132.9,17.6,369.1,29.7,5170.7,4539.6,-10.0,18029.0
680,Domtar,4132.0,-11.1,27.0,,4854.0,,-127.0,6100.0
681,Bloomin' Brands,4122.4,30.0,215.6,,3294.3,1966.6,33.0,82000.0
682,CNO Financial Group,4122.2,7.9,441.0,46.1,36204.4,2945.7,-50.0,3350.0
683,Snap,4117.0,64.2,488.0,,7536.3,58458.4,156.0,5661.0
684,Zoom Video Communications,4099.9,54.6,1375.6,104.6,7551.3,35066.3,126.0,6787.0
685,Patrick Industries,4078.1,64.0,224.9,131.7,2650.7,1408.2,159.0,11000.0
686,Paychex,4056.8,0.4,1097.5,-0.1,9227.2,49268.0,-69.0,15000.0
687,Atlas Air Worldwide Holdings,4030.8,25.5,493.3,36.9,6443.2,2523.4,21.0,4056.0
688,Bright Health Group,4029.4,233.7,1184.9,,3598.3,1213.5,0.0,3203.0
689,Peloton Interactive,4021.8,120.3,189.0,,4485.6,8760.9,0.0,8662.0
690,Country Financial,4016.2,65.3,419.2,47.4,16327.2,,164.0,3149.0
691,Qorvo,4015.3,24.0,733.6,119.4,7221.5,13456.4,14.0,8750.0
692,Catalent,3998.0,29.2,585.0,165.1,9112.0,19862.7,36.0,17300.0
693,Mercury General,3993.4,5.5,247.9,-33.8,6772.5,3045.4,-55.0,4300.0
694,AMN Healthcare Services,3984.2,66.4,327.4,363.3,3131.9,4796.1,168.0,3800.0
695,Tri Pointe Homes,3982.2,22.1,469.3,66.3,4336.2,2160.1,5.0,1390.0
696,ArcBest,3980.1,35.4,213.5,200.3,2112.7,1979.7,59.0,14000.0
697,Toro,3959.6,17.2,409.9,24.3,2936.1,8936.9,-10.0,10982.0
698,Spirit AeroSystems Holdings,3953.0,16.1,540.8,,7737.3,5130.6,-14.0,16100.0
699,Align Technology,3952.6,59.9,772.0,-56.5,5942.1,34354.8,151.0,22540.0
700,loanDepot,3943.2,-11.3,113.5,-94.4,11812.3,1290.3,-117.0,11307.0
701,APi Group,3940.0,9.8,47.0,,5159.0,4891.1,-45.0,13300.0
702,American Water Works,3930.0,4.1,1263.0,78.1,26075.0,30085.5,-62.0,6400.0
703,Matson,3925.3,64.7,927.4,380.3,3693.1,4927.5,163.0,4259.0
704,Diebold Nixdorf,3905.2,0.1,78.8,,3507.2,531.2,-76.0,22000.0
705,Marriott Vacations Worldwide,3890.0,34.8,49.0,,9613.0,6620.0,64.0,20300.0
706,Terex,3886.8,26.1,220.9,,2863.5,2485.5,29.0,8600.0
707,Sally Beauty Holdings,3875.0,10.3,239.9,111.8,2847.1,1720.5,-39.0,29000.0
708,Enovis,3854.3,25.5,71.7,68.1,8515.3,6419.3,29.0,16200.0
709,IAC/InterActiveCorp,3845.1,26.2,597.5,121.5,12300.3,9001.4,31.0,13200.0
710,Meritor,3833.0,25.9,199.0,-18.8,2938.0,2519.4,32.0,9600.0
711,Ventas,3828.0,0.9,49.0,-88.8,24717.8,24676.2,-77.0,434.0
712,GoDaddy,3815.7,15.0,242.3,,7417.1,14018.7,-15.0,6611.0
713,Regal Rexnord,3810.3,31.1,209.9,10.9,10281.6,10002.1,50.0,30000.0
714,Puget Energy,3805.7,14.4,260.8,42.8,15871.9,,-19.0,3185.0
715,Clean Harbors,3805.6,21.0,203.2,50.7,5653.7,6073.8,6.0,18300.0
716,Pinnacle West Capital,3803.8,6.0,618.7,12.4,22003.2,8820.0,-59.0,5872.0
717,eXp World Holdings,3771.2,109.7,81.2,160.9,413.8,3149.3,0.0,1669.0
718,Mueller Industries,3769.3,57.2,468.5,235.9,1728.9,3100.4,143.0,5337.0
719,Wynn Resorts,3763.7,79.6,755.8,,12530.8,9243.3,221.0,26950.0
720,RH,3758.8,32.0,688.5,153.3,5540.5,7079.0,57.0,6100.0
721,EPAM Systems,3758.1,41.3,481.7,47.2,3523.2,16870.7,87.0,58824.0
722,M/I Homes,3745.9,23.0,396.9,65.4,3239.9,1262.2,19.0,1657.0
723,Generac Holdings,3737.2,50.4,550.5,57.0,4877.8,18960.3,122.0,9248.0
724,Mettler-Toledo International,3717.9,20.5,769.0,27.6,3326.8,31220.3,10.0,16700.0
725,Abercrombie & Fitch,3712.8,18.8,263.0,,2939.5,1619.5,-1.0,19250.0
726,Teradyne,3702.9,18.6,1014.6,29.4,3809.4,19202.6,0.0,5900.0
727,American Equity Investment Life Holding,3689.5,52.2,474.0,-29.4,78349.1,3869.2,130.0,850.0
728,Southwest Gas Holdings,3680.5,11.6,200.8,-13.6,12765.3,5233.6,-30.0,12720.0
729,Pitney Bowes,3673.6,3.4,1.4,,4958.9,900.1,-65.0,11500.0
730,Lamb Weston Holdings,3670.9,-3.2,317.8,-13.1,4209.4,8699.1,-95.0,7800.0
731,Alliant Energy,3669.0,7.4,659.0,7.3,18553.0,15670.6,-51.0,3313.0
732,Resolute Forest Products,3664.0,30.9,307.0,2970.0,3538.0,991.7,51.0,6900.0
733,Parsons,3660.8,-6.6,64.1,-35.0,3830.9,4012.0,-108.0,15500.0
734,Trimble,3659.1,16.2,492.7,26.4,7099.6,18122.7,-14.0,11931.0
735,OGE Energy,3653.7,72.2,737.3,,12606.4,8164.2,198.0,2185.0
736,Garrett Motion,3633.0,19.7,,,2706.0,463.9,7.0,7600.0
737,Winnebago Industries,3629.8,54.1,281.9,358.8,2062.6,1770.9,140.0,6532.0
738,Ciena,3620.7,2.5,500.2,38.4,4865.2,9223.4,-72.0,7205.0
739,PriceSmart,3619.9,8.7,98.0,25.4,1705.8,2434.1,-45.0,10400.0
740,Advantage Solutions,3602.3,14.2,54.5,,5854.3,2029.6,-22.0,45000.0
741,H&R Block,3588.6,35.9,683.9,,4014.4,4284.6,70.0,38000.0
742,iHeartMedia,3558.3,20.7,159.2,,8881.3,2728.1,11.0,9990.0
743,Super Micro Computer,3557.4,6.5,111.9,32.7,2242.0,1963.0,-50.0,4155.0
744,Flowserve,3541.1,-5.0,125.9,-3.4,4749.8,4681.4,-101.0,16000.0
745,Charles River Laboratories International,3540.2,21.1,391.0,7.3,7024.3,14425.4,15.0,19300.0
746,A.O. Smith,3538.9,22.2,487.1,41.2,3474.4,10032.2,21.0,13700.0
747,New Residential Investment,3533.1,512.8,772.2,,39742.2,5125.0,0.0,12296.0
748,Medical Mutual of Ohio,3514.8,-0.3,78.3,-22.0,2646.4,,-81.0,2834.0
749,Granite Construction,3501.9,-1.7,10.1,,2494.9,1504.7,-86.0,2600.0
750,Valmont Industries,3501.6,20.9,195.6,39.0,3447.2,5083.4,16.0,11041.0
751,Sprague Resources,3498.2,49.8,68.9,-303.8,1418.3,433.7,135.0,757.0
752,Primoris Services,3497.6,0.2,115.6,10.1,2543.3,1269.8,-79.0,10810.0
753,Cboe Global Markets,3494.8,2.0,529.0,13.0,6814.5,12148.2,-74.0,1196.0
754,Carter's,3486.4,15.3,339.7,209.7,3201.8,3763.4,-9.0,15900.0
755,TopBuild,3486.2,28.3,324.0,31.2,4258.5,5987.1,40.0,13006.0
756,SiteOne Landscape Supply,3475.7,28.5,238.4,96.5,2116.1,7255.5,46.0,5475.0
757,Texas Roadhouse,3463.9,44.4,245.3,684.8,2512.0,5787.8,103.0,73300.0
758,Akamai Technologies,3461.2,8.2,651.6,17.0,8138.7,19210.0,-47.0,8700.0
759,Acuity Brands,3461.0,4.0,306.3,23.4,3575.1,6628.9,-63.0,13000.0
759,Brown-Forman,3461.0,2.9,903.0,9.2,6522.0,31376.6,-70.0,4700.0
761,Navient,3454.0,-7.3,717.0,74.0,80605.0,2592.3,-117.0,5263.0
762,Coterra Energy,3449.0,135.2,1158.0,477.5,19900.0,21872.1,0.0,936.0
763,Option Care Health,3438.6,13.4,139.9,,2790.9,5139.0,-19.0,6334.0
764,Floor & Decor Holdings,3433.5,41.5,283.2,45.3,3730.7,8573.8,92.0,9276.0
765,Public Storage,3415.8,17.2,1953.3,43.9,17380.9,68438.2,-3.0,5800.0
766,Cabot,3409.0,30.4,250.0,,3306.0,3871.1,47.0,4500.0
767,Crane Holdings,3408.0,16.0,435.4,140.6,4486.6,6158.9,-10.0,11000.0
768,Atmos Energy,3407.5,20.8,665.6,10.7,19608.7,16182.8,10.0,4684.0
769,Selective Insurance Group,3379.2,15.6,403.8,63.9,10461.4,5391.5,-8.0,2440.0
770,Take-Two Interactive Software,3372.8,9.2,588.9,45.6,6028.2,17744.1,-40.0,6495.0
771,Boyd Gaming,3369.8,54.7,463.8,,6224.2,7234.0,145.0,15114.0
772,Plexus,3368.9,-0.6,138.9,18.2,2461.9,2298.6,-87.0,19200.0
773,ScanSource,3364.2,-6.8,10.8,,1671.7,890.8,-118.0,2200.0
774,Franchise Group,3362.7,56.2,363.8,1351.4,3913.2,1669.6,150.0,11895.0
775,NLV Financial,3350.8,30.2,392.1,102.5,41942.4,,48.0,1157.0
776,CrossAmerica Partners,3350.5,87.1,21.7,-79.8,1270.1,826.5,0.0,2218.0
777,Mr. Cooper Group,3344.0,22.4,1454.0,376.7,14204.0,3369.4,15.0,8200.0
778,Fortinet,3342.2,28.8,606.8,24.2,5919.1,54957.1,38.0,10195.0
779,Brinker International,3337.8,8.4,131.6,439.3,2274.9,1701.9,-43.0,59491.0
780,Albemarle,3328.0,6.4,123.7,-67.1,10974.1,25899.4,-57.0,6000.0
781,Peabody Energy,3318.3,15.2,360.1,,4949.8,3391.5,-9.0,4900.0
782,Light & Wonder,3310.0,21.5,371.0,,7883.0,5679.7,12.0,5600.0
783,Evercore,3307.1,44.7,740.1,111.1,3802.7,4275.1,116.0,1940.0
784,Stewart Information Services,3305.8,44.5,323.2,108.7,2813.4,1635.1,114.0,7300.0
785,Central Garden & Pet,3303.7,22.6,151.7,25.7,3116.7,2286.5,19.0,6750.0
786,GMS,3298.8,1.8,105.6,351.5,2483.9,2142.1,-83.0,5843.0
787,H.B. Fuller,3278.0,17.5,161.4,30.5,4274.5,3505.2,-1.0,6500.0
788,Middleby,3250.8,29.3,488.5,135.7,6383.6,8961.1,49.0,10624.0
