rank ,name ,revenues,revenue_percent_change,profits,profits_percent_change,assets,market_value,change_in_rank,employees
266,Pacific Life,13936.0,38.5,1102.0,,209486.0,,37.0,3861.0
267,PulteGroup,13926.9,26.2,1946.3,38.3,13352.6,10115.7,17.0,6182.0
268,Fidelity National Information Services,13877.0,10.6,417.0,163.9,82931.0,61215.1,-27.0,65000.0
269,IQVIA Holdings,13874.0,22.1,966.0,246.2,24689.0,44140.8,6.0,79000.0
270,Marriott International,13857.0,31.1,1099.0,,25553.0,57514.9,23.0,120000.0
271,Berry Global Group,13850.0,18.3,733.0,31.1,17882.0,7832.4,-10.0,47000.0
272,Ball,13811.0,17.2,878.0,50.1,19714.0,28909.1,-12.0,24300.0
273,Group 1 Automotive,13801.7,27.2,552.1,92.7,5749.4,2859.9,13.0,13711.0
274,Leidos Holdings,13737.0,11.7,753.0,19.9,13261.0,14727.7,-26.0,43000.0
275,Wayfair,13708.0,-3.1,131.0,-170.8,4570.0,11641.6,-58.0,16681.0
276,Consolidated Edison,13676.0,11.7,1346.0,22.3,63116.0,33525.3,-27.0,13871.0
277,Ameriprise Financial,13443.0,12.4,2760.0,79.9,175979.0,33213.0,-24.0,12000.0
278,Xcel Energy,13431.0,16.5,1597.0,8.4,57851.0,39275.9,-6.0,11321.0
279,O'Reilly Automotive,13327.6,14.8,2164.7,23.5,11718.7,45410.4,-11.0,76158.0
280,Global Partners,13248.3,59.2,60.8,-40.5,2831.2,927.1,81.0,2960.0
281,Discover Financial Services,13221.0,2.1,5449.0,377.6,110242.0,31076.7,-48.0,16700.0
282,Rocket Companies,13175.6,-17.6,308.2,55.7,32774.9,21905.9,-88.0,26000.0
283,LKQ,13088.5,12.6,1090.9,70.9,12606.2,12941.4,-17.0,46000.0
284,W.W. Grainger,13022.0,10.4,1043.0,50.1,6592.0,26358.0,-26.0,23450.0
285,Quanta Services,12980.2,15.9,486.0,9.1,12855.2,18779.5,-7.0,43700.0
286,Crown Holdings,12979.0,12.1,560.0,-196.7,13858.0,15460.6,-17.0,26000.0
287,Fox,12909.0,4.9,2150.0,115.2,22926.0,21423.2,-40.0,9000.0
288,Sempra,12857.0,7.7,1317.0,-66.5,72045.0,53087.6,-33.0,15390.0
289,Markel,12846.4,32.0,2425.0,197.2,48448.9,20037.5,22.0,20300.0
290,Carvana,12814.0,129.4,135.0,,7015.0,19549.5,193.0,21000.0
291,XPO Logistics,12806.0,-21.2,336.0,205.5,8707.0,8356.9,-101.0,44700.0
292,Baxter International,12784.0,9.5,1284.0,16.5,33521.0,39017.9,-28.0,60000.0
293,Ecolab,12733.1,-0.1,1129.9,,21206.4,50548.4,-56.0,47000.0
294,Tractor Supply,12731.1,19.9,997.1,33.1,7767.5,26171.6,-3.0,34000.0
295,Andersons,12728.8,55.1,104.0,1248.7,4569.2,1708.2,71.0,2334.0
296,Keurig Dr Pepper,12683.0,9.2,2146.0,62.0,50598.0,53748.2,-29.0,27500.0
297,Universal Health Services,12642.1,9.4,991.6,5.0,13093.5,10843.1,-27.0,78850.0
298,CSX,12522.0,18.3,3781.0,36.7,40531.0,81587.8,-6.0,20919.0
299,Henry Schein,12401.0,22.6,631.2,56.3,8481.1,11960.1,-1.0,21600.0
300,Sonic Automotive,12396.4,26.9,348.9,,4975.1,1728.8,8.0,10200.0
301,eBay,12394.0,9.2,13608.0,140.1,26626.0,33641.9,-25.0,10800.0
302,Textron,12382.0,6.3,746.0,141.4,15827.0,16090.6,-37.0,33000.0
303,Jones Financial Edward Jones,12373.0,21.7,1605.0,24.9,32208.0,,-8.0,50000.0
304,Community Health Systems,12368.0,4.9,230.0,-55.0,15217.0,1598.6,-45.0,58500.0
305,Mosaic,12357.4,42.3,1630.6,144.8,22036.4,24492.6,41.0,12525.0
306,Thor Industries,12317.4,50.8,659.9,195.9,6654.1,4330.9,62.0,31000.0
307,Dick's Sporting Goods,12293.4,28.3,1519.9,186.6,9041.7,7986.6,13.0,34300.0
308,Newmont,12222.0,6.3,1166.0,-58.8,40564.0,62968.1,-35.0,14400.0
309,Devon Energy,12206.0,139.8,2813.0,,21025.0,39274.1,211.0,1600.0
310,Warner Bros. Discovery,12191.0,14.2,1006.0,-17.5,34427.0,12700.5,-20.0,11000.0
311,J.B. Hunt Transport Services,12168.3,26.3,760.8,50.3,6794.3,21052.9,4.0,33045.0
312,Alcoa,12152.0,30.9,429.0,,15025.0,16603.4,18.0,12200.0
313,Peter Kiewit Sons',12149.0,-2.5,753.0,-8.8,6238.0,,-70.0,28800.0
314,Aramark,12096.0,-5.7,90.8,,14376.2,9655.5,-79.0,248300.0
